Movie Title,Movie Year,Runtime,Genre,Rating,Director,Votes,gross
Firestarter,1984,114,Action Horror Sci-Fi,6,Mark L. Lester,35640,15.1
Halloween: The Curse of Michael Myers,1995,87,Horror Thriller,4.7,Joe Chappelle,39712,15.12
Thinner,1996,93,Fantasy Horror,5.8,Tom Holland,32352,15.17
Needful Things,1993,120,Crime Drama Fantasy,6.2,Fraser C. Heston,26291,15.19
Gretel & Hansel,2020,87,Fantasy Horror Mystery,5.5,Oz Perkins,32438,15.35
Wrong Turn I,2003,84,Horror Thriller,6.1,Rob Schmidt,125830,15.42
Killer Klowns from Outer Space,1988,88,Comedy Horror Sci-Fi,6.2,Stephen Chiodo,41538,15.63
Jason Goes to Hell: The Final Friday,1993,87,Fantasy Horror Thriller,4.1,Adam Marcus,34519,15.94
What Lies Beneath,2000,130,Drama Horror Mystery,6.6,Robert Zemeckis,130856,155.46
Halloween I,2018,106,Crime Horror Thriller,6.5,David Gordon Green,160731,159.34
The Prophecy,1995,98,Action Crime Drama,6.4,Gregory Widen,32198,16.12
Wolf Creek,2005,99,Horror Thriller,6.2,Greg McLean,75604,16.19
Jennifer's Body,2009,102,Comedy Horror,5.4,Karyn Kusama,141859,16.2
Black Christmas,2006,95,Horror,4.6,Glen Morgan,28952,16.24
An American Haunting,2005,83,Drama Horror Mystery,5,Courtney Solomon,26374,16.3
Buffy the Vampire Slayer,1992,86,Action Comedy Fantasy,5.7,Fran Rubel Kuzui,47048,16.62
Tremors,1990,96,Comedy Horror,7.1,Ron Underwood,143452,16.67
The Frighteners,1996,110,Comedy Fantasy Horror,7.1,Peter Jackson,91980,16.76
Dead Silence,2007,89,Horror Mystery Thriller,6.1,James Wan,98073,16.81
Flatliners,2017,109,Drama Horror Mystery,5.2,Niels Arden Oplev,49170,16.88
The Thing I,2011,103,Horror Mystery Sci-Fi,6.2,Matthijs van Heijningen Jr.,139897,16.93
A Quiet Place Part II,2020,97,Drama Horror Sci-Fi,7.2,John Krasinski,248967,160.07
Hotel Transylvania 3: Summer Vacation,2018,97,Animation Adventure Comedy,6.3,Genndy Tartakovsky,79162,167.51
Hotel Transylvania 2,2015,89,Animation Adventure Comedy,6.6,Genndy Tartakovsky,134482,169.7
Splice,2009,104,Horror Sci-Fi,5.8,Vincenzo Natali,99872,17
Resident Evil: Welcome to Raccoon City,2021,107,Action Horror Sci-Fi,5.2,Johannes Roberts,58422,17
The Devil's Rejects,2005,107,Crime Horror Western,6.7,Rob Zombie,103048,17.04
Seed of Chucky,2004,87,Comedy Horror Thriller,4.9,Don Mancini,47581,17.08
Angel Heart,1987,113,Horror Mystery Thriller,7.2,Alan Parker,91791,17.19
Underwater,2020,95,Action Horror Sci-Fi,5.9,William Eubank,88253,17.29
Brightburn,2019,90,Drama Horror Mystery,6.1,David Yarovesky,102749,17.3
Eight Legged Freaks,2002,99,Action Adventure Comedy,5.5,Ellory Elkayem,58839,17.32
Dark Skies,2013,97,Horror Sci-Fi Thriller,6.3,Scott Stewart,77749,17.41
The Ruins,2008,90,Adventure Horror Thriller,5.9,Carter Smith,77800,17.43
Silent Hill: Revelation,2012,95,Horror Mystery Thriller,4.9,M.J. Bassett,65270,17.53
Hostel: Part II,2007,94,Horror,5.5,Eli Roth,92969,17.61
Apollo 18,2011,86,Horror Mystery Sci-Fi,5.2,Gonzalo López-Gallego,56777,17.69
Halloween 4: The Return of Michael Myers,1988,88,Horror Thriller,5.8,Dwight H. Little,55673,17.77
Mother!,2017,121,Drama Horror Mystery,6.6,Darren Aronofsky,236605,17.8
The Howling,1981,91,Horror,6.5,Joe Dante,38157,17.99
Us II,2019,116,Horror Mystery Thriller,6.8,Jordan Peele,316383,175.08
Get Out I,2017,104,Horror Mystery Thriller,7.8,Jordan Peele,642604,176.04
New Nightmare,1994,112,Fantasy Horror Mystery,6.4,Wes Craven,61174,18.09
Chernobyl Diaries,2012,86,Horror Mystery Thriller,5,Bradley Parker,67339,18.12
Fright Night,2011,106,Comedy Horror,6.4,Craig Gillespie,109829,18.3
Paranormal Activity: The Ghost Dimension,2015,88,Horror Mystery,4.6,Gregory Plotkin,29413,18.3
You're Next,2011,95,Horror Thriller,6.6,Adam Wingard,104174,18.47
Shark Night,2011,90,Action Adventure Horror,4,David R. Ellis,26648,18.87
A Quiet Place,2018,90,Drama Horror Sci-Fi,7.5,John Krasinski,551233,188.02
Friday the 13th Part VII: The New Blood,1988,88,Horror Thriller,5.2,John Carl Buechler,39646,19.17
Species II,1998,93,Action Horror Sci-Fi,4.5,Peter Medak,30268,19.17
Cursed,2005,97,Comedy Horror,5,Wes Craven,34024,19.3
Vacancy,2007,85,Horror Thriller,6.2,Nimród Antal,104096,19.36
House,1985,93,Comedy Fantasy Horror,6.1,Steve Miner,28520,19.44
Friday the 13th Part VI: Jason Lives,1986,86,Horror Thriller,6,Tom McLoughlin,47804,19.47
The Serpent and the Rainbow,1988,98,Fantasy Horror,6.4,Wes Craven,26707,19.6
Altered States,1980,102,Horror Sci-Fi Thriller,6.9,Ken Russell,36892,19.85
Bubba Ho-Tep,2002,92,Comedy Fantasy Horror,6.9,Don Coscarelli,50182,2
Re-Animator,1985,84,Comedy Horror Sci-Fi,7.2,Stuart Gordon,68040,2.02
Ravenous,1999,101,Adventure Drama Horror,6.9,Antonia Bird,41616,2.06
Let the Right One In,2008,114,Drama Fantasy Horror,7.9,Tomas Alfredson,221604,2.12
Videodrome,1983,87,Horror Sci-Fi Thriller,7.2,David Cronenberg,97693,2.12
Train to Busan,2016,118,Action Horror Thriller,7.6,Sang-ho Yeon,235577,2.13
The Host,2006,120,Drama Horror Sci-Fi,7.1,Bong Joon Ho,127160,2.2
The Killing of a Sacred Deer,2017,121,Drama Horror Mystery,7,Yorgos Lanthimos,164977,2.29
The Evil Dead,1981,85,Horror,7.4,Sam Raimi,222282,2.4
BloodRayne,2005,95,Action Fantasy Horror,3,Uwe Boll,36527,2.41
Godzilla,1954,96,Horror Sci-Fi,7.5,Ishirô Honda,35705,2.42
